Environments,Algorithms,x1,reward,steps,time,episodes
Cartpolev0,DQN_CRL,0.03938157,1.0,273,118.19022130966187,14
Cartpolev0,DQN_CRL,0.03864598,1.0,274,118.63196802139282,14
Cartpolev0,DQN_CRL,0.041823834,1.0,275,119.08071088790894,14
Cartpolev0,DQN_CRL,0.04891522,1.0,276,119.978196144104,14
Cartpolev0,DQN_CRL,0.052118007,1.0,277,120.45292377471924,14
Cartpolev0,DQN_CRL,0.059239294,1.0,278,121.07157158851624,14
Cartpolev0,DQN_CRL,0.06247818,1.0,279,121.49232816696167,14
Cartpolev0,DQN_CRL,0.06964054,1.0,280,122.6126856803894,14
Cartpolev0,DQN_CRL,0.07292728,1.0,281,123.15437531471252,14
Cartpolev0,DQN_CRL,0.07234376,1.0,282,123.6460931301117,14
Cartpolev0,DQN_CRL,0.06789344,1.0,283,124.14380836486816,14
Cartpolev0,DQN_CRL,0.0673749,1.0,284,124.6085410118103,14
Cartpolev0,DQN_CRL,0.0629905,1.0,285,125.07227635383606,14
Cartpolev0,DQN_CRL,0.054742325,1.0,286,125.52801418304443,14
Cartpolev0,DQN_CRL,0.050426822,1.0,287,126.00673913955688,14
Cartpolev0,DQN_CRL,0.04224605,1.0,288,126.48946404457092,14
Cartpolev0,DQN_CRL,0.030200649,1.0,289,126.978182554245,14
Cartpolev0,DQN_CRL,0.022086442,1.0,290,127.40193915367126,14
Cartpolev0,DQN_CRL,0.010103764,1.0,291,127.80970549583435,14
Cartpolev0,DQN_CRL,-0.005748168,1.0,292,128.2514522075653,14
Cartpolev0,DQN_CRL,-0.025472103,1.0,293,128.6882016658783,14
Cartpolev0,DQN_CRL,-0.041272074,1.0,294,129.1129777431488,14
Cartpolev0,DQN_CRL,-0.060953353,1.0,295,129.56170105934143,14
Cartpolev0,DQN_CRL,-0.076716915,1.0,296,129.9954538345337,14
Cartpolev0,DQN_CRL,-0.088566326,1.0,297,130.4042181968689,14
Cartpolev0,DQN_CRL,-0.10430827,1.0,298,130.83796954154968,14
Cartpolev0,DQN_CRL,-0.123944,1.0,299,131.27172017097473,14
Cartpolev0,DQN_CRL,-0.14747646,1.0,300,131.75344610214233,14
Cartpolev0,DQN_CRL,-0.16710512,1.0,301,132.2271728515625,14
Cartpolev0,DQN_CRL,-0.18283573,1.0,302,132.627943277359,14
Cartpolev0,DQN_CRL,-0.20247714,1.0,303,133.0337119102478,14
Cartpolev0,DQN_CRL,-0.22603151,1.0,304,133.43248391151428,14
Cartpolev0,DQN_CRL,-0.25350198,1.0,305,133.83425378799438,14
Cartpolev0,DQN_CRL,-0.27709064,1.0,306,134.2600073814392,14
Cartpolev0,DQN_CRL,-0.30460578,1.0,307,134.7127480506897,14
Cartpolev0,DQN_CRL,-0.3282537,1.0,308,135.09253215789795,14
Cartpolev0,DQN_CRL,-0.3558367,1.0,309,135.57625269889832,14
Cartpolev0,DQN_CRL,-0.3795682,1.0,310,136.0080051422119,14
Cartpolev0,DQN_CRL,0.01797997,1.0,311,136.37879300117493,15
Cartpolev0,DQN_CRL,0.014740051,1.0,312,136.79355454444885,15
Cartpolev0,DQN_CRL,0.0075845434,1.0,313,137.20232009887695,15
Cartpolev0,DQN_CRL,0.0043155863,1.0,314,137.59809565544128,15
Cartpolev0,DQN_CRL,0.004929291,1.0,315,137.99786567687988,15
Cartpolev0,DQN_CRL,0.009423616,1.0,316,138.4456079006195,15
Cartpolev0,DQN_CRL,0.017798465,1.0,317,138.85837078094482,15
Cartpolev0,DQN_CRL,0.03005566,1.0,318,139.28712630271912,15
Cartpolev0,DQN_CRL,0.046198808,1.0,319,139.70588493347168,15
Cartpolev0,DQN_CRL,0.058429107,1.0,320,140.14663410186768,15
Cartpolev0,DQN_CRL,0.07455621,1.0,321,140.65633964538574,15
Cartpolev0,DQN_CRL,0.08677956,1.0,322,141.1210753917694,15
Cartpolev0,DQN_CRL,0.09510488,1.0,323,141.56282114982605,15
Cartpolev0,DQN_CRL,0.09953669,1.0,324,142.06053614616394,15
Cartpolev0,DQN_CRL,0.10788184,1.0,325,142.51327514648438,15
Cartpolev0,DQN_CRL,0.112337254,1.0,326,142.9620373249054,15
Cartpolev0,DQN_CRL,0.11290607,1.0,327,143.4087631702423,15
Cartpolev0,DQN_CRL,0.10958958,1.0,328,143.89048528671265,15
Cartpolev0,DQN_CRL,0.11019031,1.0,329,144.34222650527954,15
Cartpolev0,DQN_CRL,0.1147066,1.0,330,144.79896664619446,15
Cartpolev0,DQN_CRL,0.12313817,1.0,331,145.24272966384888,15
Cartpolev0,DQN_CRL,0.1276828,1.0,332,145.71044301986694,15
Cartpolev0,DQN_CRL,0.13614692,1.0,333,146.18817019462585,15
Cartpolev0,DQN_CRL,0.14853157,1.0,334,146.60792779922485,15
Cartpolev0,DQN_CRL,0.15703782,1.0,335,147.05467200279236,15
Cartpolev0,DQN_CRL,0.16167231,1.0,336,147.51240944862366,15
Cartpolev0,DQN_CRL,0.16244003,1.0,337,148.39490294456482,15
Cartpolev0,DQN_CRL,0.15934403,1.0,338,149.16146397590637,15
Cartpolev0,DQN_CRL,0.16018137,1.0,339,149.79210209846497,15
Cartpolev0,DQN_CRL,0.15715517,1.0,340,150.2388460636139,15
Cartpolev0,DQN_CRL,0.1580628,1.0,341,150.68359208106995,15
Cartpolev0,DQN_CRL,0.1551081,1.0,342,151.132333278656,15
Cartpolev0,DQN_CRL,0.14829336,1.0,343,151.6140580177307,15
Cartpolev0,DQN_CRL,0.13761884,1.0,344,152.0618007183075,15
Cartpolev0,DQN_CRL,0.123082735,1.0,345,152.62347984313965,15
Cartpolev0,DQN_CRL,0.104681306,1.0,346,153.14118218421936,15
Cartpolev0,DQN_CRL,0.082409054,1.0,347,153.70485973358154,15
Cartpolev0,DQN_CRL,0.05625899,1.0,348,154.1695921421051,15
Cartpolev0,DQN_CRL,0.03402565,1.0,349,154.621333360672,15
Cartpolev0,DQN_CRL,0.01570324,1.0,350,155.07007598876953,15
Cartpolev0,DQN_CRL,-0.006518666,1.0,351,155.5168194770813,15
Cartpolev0,DQN_CRL,-0.024839824,1.0,352,155.92558526992798,15
Cartpolev0,DQN_CRL,-0.047071166,1.0,353,156.36633205413818,15
Cartpolev0,DQN_CRL,-0.073216416,1.0,354,156.7820942401886,15
Cartpolev0,DQN_CRL,-0.09547758,1.0,355,157.2078514099121,15
Cartpolev0,DQN_CRL,-0.11386448,1.0,356,157.64060163497925,15
Cartpolev0,DQN_CRL,-0.12838593,1.0,357,158.0733540058136,15
Cartpolev0,DQN_CRL,-0.14684282,1.0,358,158.54508328437805,15
Cartpolev0,DQN_CRL,-0.16144463,1.0,359,159.00382018089294,15
